Employer,JobTitle,Wage,City,State
"DENTSU MCGARRY BOWEN, LLC","SENIOR BRAND PLANNER",93000,"NEW YORK",NY
"STARCOM MEDIAVEST GROUP, INC.","ASSOCIATE DIRECTOR, BUSINESS PLANNING",110000,CHICAGO,IL
"NATIONAL OILWELL VARCO, L.P.","PRODUCT LINE MANAGER",63500,HOUSTON,TX
"RAZORFISH LLC","ACCOUNT PLANNING ASSOCIATE",42664,CHICAGO,IL
"STARCOM MEDIAVEST GROUP, INC.","MEDIA SUPERVISOR",56430,CHICAGO,IL
"R/GA MEDIA GROUP INC.","DIRECTOR, SOCIAL MEDIA",130000,"NEW YORK",NY
"FORSYTHE MEDIA GROUP","ADVERTISING ANALYST",86000,HICKSVILLE,NY
"KGBTEXAS MARKETING/PUBLIC RELATIONS, INC.","ADVERTISING ACCOUNT EXECUTIVE",34403,"SAN  ANTONIO",TX
"INSTITUTE FOR INTERNATIONAL COOPERATION & DEVELOPM","DIRECTOR OF MARKETING AND RECRUITMENT",48000,WILLIAMSTOWN,MA
"MCCANN-ERICKSON MARKETING, INC.","ASSISTANT ACCOUNT EXECUTIVE",40000,"NEW YORK",NY
"FOVA INC.","JUNIOR ACCOUNT PLANNER",40000,"NEW YORK",NY
"DRAFTFCB, INC.","ASSISTANT ACCOUNT EXECUTIVE",40000,"NEW YORK",NY
"LEO BURNETT COMPANY, INC.","ASSISTANT ACCOUNT EXECUTIVE",40600,CHICAGO,IL
"SIRUBA LATIN AMERICA, INC","ADVERTISING BRANDING MANAGER",54000,DORAL,FL
"IKEA U.S. WEST INC","VISUAL MERCHANDISING MANAGER",32760,DRAPER,UT
"THE COCA-COLA COMPANY","VICE PRESIDENT GLOBAL ADVERTISING STRATEGY CREATIV",200000,ATLANTA,GA
"FORSYTHE MEDIA GROUP","ADVERTISING ANALYST",64000,HICKSVILLE,NY
"TBWA WORLDWIDE, INC.","INTERNATIONAL ACCOUNT SUPERVISOR",93000,"LOS ANGELES",CA
"STARCOM MEDIAVEST GROUP, INC.","HUMAN EXPERIENCE STRATEGY DIRECTOR",90000,"NEW YORK",NY
