Employer,JobTitle,Wage,City,State
"INSIGHT COMMUNNICATIONS CORP.","SYSTEMS INTEGRATION ENGINEER",59987,"SAN JUAN",PR
"UNIVERSITY OF MINNESOTA","ASST DIRECTOR FOR RESEARCH COMPUTING, INFRASTRUCTU",96220,MINNEAPOLIS,MN
"VIRTUSA CORPORATION","DIRECTOR SAP",134500,CARLSBAD,CA
"NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH, INC.","AD SENIOR IT PROJECT MANAGER",132000,CAMBRIDGE,MA
"PRELUDE SYSTEMS INC.","PROGRAM MANAGER",110885,IRVINE,CA
"PRELUDE SYSTEMS INC.","PROGRAM MANAGER",110800,AUSTIN,TX
"AIRBNB, INC.","PRODUCT GROWTH MANAGER",140000,"SAN FRANCISCO",CA
"QUALITY SOFTWARE SERVICES, INC.","PROGRAM DIRECTOR",152250,COLUMBIA,MD
"RESOURCE LOGISTICS, INC.","PROJECT MANAGER",94000,SALEM,OR
"CAPSQUARE SYSTEMS,INC","PROJECT MANAGER",74000,"AUBURN HILLS",MI
"HITACHI CONSULTING CORPORATION","MANAGER, SPECIALIZED SERVICES",102700,ORLANDO,FL
"SYNTEL INC","PROJECT MANAGER",61672,MEMPHIS,TN
"SYNTEL INC","PROJECT MANAGER",61672,COLLIERVILLE,TN
"IGATE AMERICAS INC","TECHNICAL ARCHITECT",78400,LUFKIN,TX
"RESOURCE LOGISTICS, INC.","PROJECT MANAGER",94000,SALEM,OR
"FLEISHMAN-HILLARD, INC.","MANAGER, MANAGEMENT INFORMATION SYSTEMS",85000,"ST. LOUIS",MO
"CAPGEMINI FINANCIAL SERVICES USA INC.","LEAD CONSULTANT",100089,MERRIMACK,NH
"PRELUDE SYSTEMS INC.","PROGRAM MANAGER",110885,IRVINE,CA
"EMC CORPORATION","MANAGER, SOFTWARE ENGINEERING",106000,HOPKINTON,MA
"AMAZON CORPORATE LLC","TECHNICAL PROGRAM MANAGER II",120000,SEATTLE,WA
"MPHASIS CORPORATION","INFORMATION SYSTEMS MANAGER",98301,"JERSEY CITY",NJ
"ASPIRE SYSTEMS, INC.","PROJECT MANAGER",103000,CHICAGO,IL
"NATIONAL RADIO ASTRONOMY OBSERVATORY","SR. SOFTWARE MANAGER",132000,CHARLOTTESVILLE,VA
"PRICEWATERHOUSECOOPERS, LLP","MANAGER (ADVISORY)",101525,"FLORHAM PARK",NJ
"DIVENSI INC.","PRODUCT MANAGER",93912,BELLEVUE,WA
"AMAZON CORPORATE LLC","TECHNICAL PROGRAM MANAGER II",106600,SEATTLE,WA
"INSIGHT COMMUNICATIONS, CORP.","SYSTEMS INTEGRATION ENGINEER",59301,"SAN JUAN",PR
"CAPGEMINI FINANCIAL SERVICES USA INC","LEAD CONSULTANT",91000,"DOWNERS GROVE",IL
"KYYBA INC.","PROJECT MANAGER",79602,COLUMBUS,IN
"XL MARKETING CORP","DIRECTOR-CLIENT SERVICES (MIS DIRECTOR)",97989,"NEW YORK",NY
"BIG LOTS STORES INC.","SAP BASIS ADMINISTRATOR",107000,COLUMBUS,OH
MYLIFE.COM,"DIRECTOR, PRODUCT MANAGER, SOCIAL SERVICES",155000,"LOS ANGELES",CA
"PRELUDE SYSTEMS INC.","PROGRAM MANAGER",110885,IRVINE,CA
"CAPGEMINI FINANCIAL SERVICES USA INC","LEAD CONSULTANT",105000,WARREN,NJ
"ACQUITY GROUP",MANAGER,130000,"NEW YORK",NY
"PAMTEN, INC.","PROJECT MANAGER",91000,HOUSTON,TX
"GLOBAL TPA, LLC","INFORMATION SYSTEMS MANAGER",87000,TAMPA,FL
"HCL AMERICA, INC.","PROGRAM MANAGER",156728,"JERSEY CITY",NJ
"DELOITTE CONSULTING LLP",MANAGER,141000,"SANTA MONICA",CA
"CAPGEMINI FINANCIAL SERVICES USA INC.",MANAGER,101877,METTAWA,IL
"GE CAPITAL CORPORATION","SENIOR CONFIGURATION BUSINESS ANALYST",105000,STAMFORD,CT
"BLUENOG CORPORATION","PROJECT LEAD",120000,PISCATAWAY,NJ
"MOBIQUITY, INC.","MOBILE TECHNICAL LEAD",110000,WELLESLEY,MA
"CISCO SYSTEMS, INC.","TECHNICAL LEADER",148839,"SAN JOSE",CA
"DELOITTE CONSULTING LLP","SPECIALIST MASTER",97472,PHILADELPHIA,PA
"MONSANTO COMPANY","BREEDING APPLICATION DEVELOPMENT MANAGER",96283,"ST. LOUIS",MO
"KBACE TECHNOLOGIES, INC.","PRACTICE MANAGER",160000,CHARLOTTE,NC
"EPSILON CONSULTING SERVICES, INC.","SENIOR TRADING SYSTEMS DEVELOPMENT MANAGER",119000,"NEW YORK",NY
"AOL INC.","TECH DIRECTOR OF SOFTWARE DEVELOPMENT",165000,"PALO ALTO",CA
"VINING SPARKS IBG, LP","SENIOR PROGRAMMER/ANALYST",81432,MEMPHIS,TN
"EMTEC, INC.","PROJECT MANAGER",133000,"SAN BRUNO",CA
"IMAGEM, INC.","COMPUTER & INFORMATION SYSTEMS MANAGER",114587,PHILADELPHIA,PA
"AT&T MOBILITY SERVICES LLC","AREA MANAGER RAN ENGINEER",98539,BLOOMINGTON,MN
"DELOITTE CONSULTING LLP","SPECIALIST MASTER",114800,ARLINGTON,VA
"DPI SPECIALTY FOODS, INC.","ORACLE FUNCTIONAL LEAD",127000,ONTARIO,CA
"ON-LINE INFORMATION SYSTEMS, INC.","PROGRAMMING MANAGER",68500,MOBILE,AL
"SAMSUNG TELECOMMUNICATIONS AMERICA, LLC","SYSTEMS ENGINEER MANAGER",137198.63,HERNDON,VA
"MICROEXCEL, INC.","COMPUTER MANAGER",100000,"LOS ANGELES",CA
"JOHNSON CONTROLS, INC.","SAP SECURITY LEAD",111322,MILWAUKEE,WI
"ABBOTT LABORATORIES","SENIOR IT TECHNICAL SPECIALIST",132000,"ABBOTT PARK",IL
"FTI CONSULTING TECHNOLOGY LLC",DIRECTOR,94500,"NEW YORK",NY
"EXPEDIA, INC.","MANAGER, DATABASE OPERATIONS",115954,BELLEVUE,WA
"BLUE STAR INFOTECH AMERICA, INC.","PROJECT MANAGER",80400,NASHVILLE,TN
"ADVANCE AUTO BUSINESS SUPPORT LLC","PROJECT MANAGER II",95000,ROANOKE,VA
"KNIGHT CAPITAL AMERICAS LLC","DIRECTOR, PROGRAMMER ANALYST",160000,"JERSEY CITY",NJ
"INDECOMM HOLDINGS, INC.","COMPUTERS MANAGER",98500,ISELIN,NJ
"CSC COVANSYS CORPORATION","PROJECT MANAGER",88774,PASADENA,CA
"CIGNA CGLIC","DIRECTOR, NETWORK BUSINESS SERVICES",170000,PHILADELPHIA,PA
"AMALGAM TECHNOLOGIES INC","PROJECT MANAGER",98400,PRINCETON,NJ
"NISSIN INTERNATIONAL TRANSPORT USA, INC.","IT DIRECTOR",108805,TORRANCE,CA
"HP ENTERPRISE SERVICES, LLC","MANAGER ITO SERVICE DELIVERY",115576,ALPHARETTA,GA
"INDIANA UNIV. PURDUE UNIV. INDIANAPOLIS","DATABASE AND WEB ADMINISTRATOR",63586,INDIANAPOLIS,IN
"NORTHGATEARINSO, INC.","PROGRAM DIRECTOR - SYSTEMS INTEGRATION (SAP HCM)",117500,NORCROSS,GA
"GOOGLE INC.","ENGINEERING MANAGER",165000,"NEW YORK CITY",NY
"AMAZON CORPORATE LLC","SOFTWARE DEVELOPMENT MANAGER",116000,SEATTLE,NY
"INTERACTIVE INTELLIGENCE GROUP, INC.","DIRECTOR, INFORMATION SYSTEMS",95000,INDIANAPOLIS,IN
"SMITHSONIAN INSTITUTION","EXECUTIVE DIRECTOR, ENCYCLOPEDIA OF LIFE",155000,WASHINGTON,DC
"NTT DATA, INC.","SENIOR TECHNICAL SPECIALIST",115000,"SANTA MONICA",CA
"SYNTEL INC","PROJECT MANAGER",73362,PHOENIX,AZ
"NTT DATA, INC.","SENIOR TECHNICAL SPECIALIST",115000,"SANTA MONICA",CA
"REMOTE TIGER, INC.","SOFTWARE QUALITY ASSURANCE MANAGER",160701,GREENBELT,MD
"CAPGEMINI FINANCIAL SERVICES USA INC","LEAD CONSULTANT",100000,WARREN,NJ
"APTEC, LLC","ASSOCIATE MANAGER OIA",110000,"NEW YORK",NY
"DELOITTE CONSULTING LLP","SPECIALIST MASTER",135000,PHILADELPHIA,PA
"DEALCLAN LLC A/K/A Y MEDIA LABS","CHIEF TECHNICAL OFFICER",135325,"REDWOOD CITY",CA
"CAPGEMINI FINANCIAL SERVICES USA INC.",MANAGER,130000,WARREN,NJ
"ADS ALLIANCE DATA SYSTEMS, INC.","TECHNICAL MANAGER",115000,WAKEFIELD,MA
"CAPGEMINI FINANCIAL SERVICES USA INC","LEAD CONSULTANT",80000,RIVERWOODS,IL
"VIRTUSA CORP","SOFTWARE MANAGER I - ASSOCIATE ARCHITECT",110000,"JERSEY CITY",NJ
"INECO DFI MANAGEMENT LLC","PROJECT INFORMATION MANAGEMENT COORDINATOR",250000,GALVESTON,TX
"PELCO, INC.","SOFTWARE GROUP LEAD",85000,CLOVIS,CA
"RANCH CATERING, INC.","INFORMATION TECHNOLOGY EXECUTIVE DIRECTOR/EXEC DIR",111758,"SAN DIEGO",CA
"HITACHI CONSULTING CORPORATION","MANAGER, SPECIALIZED SERVICES",112500,CLINTON,MA
"HITACHI CONSULTING CORPORATION","MANAGER, SPECIALIZED SERVICES",112500,"HANOVER PARK",IL
"UST GLOBAL INC","ASSOCIATE ACCOUNT MANAGER",84406,ALBANY,NY
"HITACHI CONSULTING CORPORATION","MANAGER, SPECIALIZED SERVICES",112500,DALLAS,TX
"ITECH US, INC.","PROJECT MANAGER",96117,PLEASANTON,CA
"QUICKSET INTERNATIONAL, INC.","TEAM LEAD-EMBEDDED SOFTWARE ENGINEER",98633.6,NORTHBROOK,IL
"IT CONVERGENCE","SENIOR TECHNICAL OPERATIONS MANAGER",125800,"OAKBROOK TERRACE",IL
"SYNTEL CONSULTING INC.","PROJECT MANAGER",83159,READING,PA
"PRICEWATERHOUSECOOPERS, LLP","MANAGER (ADVISORY)",111051,CINCINNATI,OH
"PRICEWATERHOUSECOOPERS, LLP","MANAGER (ADVISORY)",100984,"GRAND RAPIDS",MI
"PRICEWATERHOUSECOOPERS, LLP","MANAGER (ADVISORY)",125965,"PINELLAS PARK",FL
"INSPIRAGE, LLC","SOLUTION ARCHITECT",140000,BELLEVUE,WA
"WELLS FARGO BANK, N.A.","CAPITAL MARKETS PROJECT MANAGER",150000,"NEW YORK",NY
"PRICEWATERHOUSECOOPERS, LLP","MANAGER (ADVISORY)",134410,"SAN DIEGO",CA
"PRICEWATERHOUSECOOPERS, LLP","MANAGER (ADVISORY)",118789,BALTIMORE,MD
"AAON, INC.","MANAGER PMO, ENTERPRISE BUSINESS SOLUTIONS",108000,TULSA,OK
"DEALCLAN LLC","CHIEF TECHNICAL OFFICER",135325,"REDWOOD CITY",CA
"PARAGON SOLUTIONS, INC.","ASSOCIATE DIRECTOR (COMPUTER SYSTEM MANAGER)",140000,"FORT WAYNE",IN
"KIVA SYSTEMS, INC.","SYSTEMS LAYOUT ANALYSIS TEAM LEAD",97850,"N. READING",MA
"HITACHI CONSULTING CORPORATION","MANAGER, SPECIALIZED SERVICES",111158,"NEW YORK",NY
"BRELVIS CONSULTING LLC","IT MANAGER",65000,"WESLEY CHAPEL",FL
MYLIFE.COM,"SR. DIRECTOR, COMMUNICATIONS AND SHARING",155000,"LOS ANGELES",CA
"MACY'S SYSTEMS AND TECHNOLOGY",MANAGER,102981,"JOHNS CREEK",GA
"MANHATTAN ASSOCIATES, INC.","MANAGER, RESOURCE MANAGEMENT",87000,NEWARK,DE
"EMC CORPORATION","MANAGER, SOFTWARE ENGINEERING",91803,HOPKINTON,MA
"KPI PARTNERS, INC","PRACTICE DIRECTOR",205000,CHICAGO,IL
"VIRTUSA CORPORATION","ASSOCIATE ARCHITECT",110000,WESTBOROUGH,MA
"IGATE TECHNOLOGIES INC.","COMPUTER AND INFORMATION SYSTEMS MANAGERS",104200,RICHMOND,VA
"ACCENTURE, LLP","SAP MANAGER",132226,HOUSTON,TX
"PRICEWATERHOUSECOOPERS, LLP","MANAGER (ADVISORY)",146000,HARRISBURG,PA
"BALLY GAMING, INC.","MANAGER SR. TECHNICAL",92000,"LAS VEGAS",NV
"HITACHI CONSULTING CORPORATION","MANAGER, CONSULTING SERVICES",86540,HOUSTON,TX
"COMPUTER SYSTEMS CONSULTING INC.","PROJECT CONSULTANCIES & MAINFRAME TECHNOLOGIES EXP",90000,RALEIGH,NC
"DELOITTE CONSULTING LLP",MANAGER,140000,ATLANTA,GA
"LIVEBRIDGE, INC.","SYSTEMS DEVELOPMENT SENIOR MANAGER",98214.62,BEAVERTON,OR
"CORPORATION SERVICE COMPANY","IT MANAGER",115628,WILMINGTON,DE
"CISCO SYSTEMS, INC.","MANAGER, ADVANCED SERVICES",148436,"SAN JOSE",CA
"BROADCOM CORPORATION","DIRECTOR, FIELD APPLICATIONS ENGINEERING",165000,"SAN JOSE",CA
"EMC CORPORATION","SENIOR GLOBAL PROGRAM MANAGER (ENGINEERING)",93912,SEATTLE,WA
"HITACHI CONSULTING CORPORATION",MANAGER,100000,HOUSTON,TX
"SYSCOM TECHNOLOGIES","SOFTWARE PROGRAMMING MANAGER",84000,MARIETTA,GA
"DELOITTE CONSULTING LLP",MANAGER,93500,CINCINNATI,OH
"BLOOMBERG, LP","SAP PROCUREMENT ANALYST",140000,"NEW YORK",NY
"CENTRAL GROCERS, INC.","DIRECTOR OF INFORMATION TECHNOLOGY",125000,JOLIET,IL
"FIDELITY BROKERAGE SERVICES LLC","SENIOR TECHNICAL PROJECT MANAGER",97968,MORRISVILLE,NC
"DELOITTE CONSULTING LLP",MANAGER,124300,CHICAGO,IL
"JIVE SOFTWARE, INC.","SENIOR DIRECTOR, PRODUCT MANAGEMENT",175094,"PALO ALTO",CA
"HITACHI CONSULTING CORPORATION",MANAGER,86142.96,PITTSBURGH,PA
"EMC CORPORATION","MANAGER, SOFTWARE ENGINEERING",124476,RICHARDSON,TX
"SYMANTEC CORPORATION","SENIOR PRODUCT MANAGER",140000,"MOUNTAIN VIEW",CA
"DUN & BRADSTREET, INC.","SENIOR ARCHITECT (COMPUTER SOFTWARE ENGINEER)",115000,"CENTER VALLEY",PA
"IGATE TECHNOLOGIES INC.","PROJECT MANAGER",104200,RICHMOND,VA
"VIRTUSA CORPORATION","ASSOCIATE DIRECTOR",125000,WESTBOROUGH,MA
"VITERA HEALTHCARE SOLUTIONS","SENIOR DIRECTOR (COMPUTER AND INFORMATION SYSTEMS",145600,TAMPA,FL
"INTERACTIVE COMMUNICATIONS INTERNATIONAL, INC.","VICE PRESIDENT, SOFTWARE ENGINEERING",120000,ATLANTA,GA
"CAPGEMINI FINANCIAL SERVICES USA INC. (LEGACY KANB","LEAD CONSULTANT",105000,SCHAUMBURG,IL
"CONCURRENT COMPUTER CORPORATION","APAC PROGRAM MANAGER",102981,DULUTH,GA
"AKAMAI TECHNOLOGIES, INC.","ENGAGEMENT MANAGER",105560,ATLANTA,GA
"SATYAM COMPUTER SERVICES LTD.","SR. DELIVERY MANAGER",150000,MARIETTA,GA
"SYNTEL CONSULTING INC.","PROJECT MANAGER",83158,READING,PA
"SYNTEL CONSULTING INC.","PROJECT MANAGER",72738,NORTHBROOK,IL
"SYNTEL INC","PROJECT MANAGER",72738,NORTHBROOK,IL
"SYNTEL INC","PROJECT MANAGER",93912,"KIRKLAND,",WA
"HARBOR CAPITAL ADVISORS, INC.","DECISION SUPPORT SERVICES MANAGER",116000,CHICAGO,IL
"CAPGEMINI FINANCIAL SERVICES USA INC",MANAGER,95000,CHICAGO,IL
"SEARS GLOBAL TECHNOLOGY SERVICES LLC","IT SERVICE DELIVERY MANAGER",100000,"HOFFMAN ESTATES",IL
"IGATE TECHNOLOGIES INC.","PROJECT MANAGER",104200,RICHMOND,VA
"ALLY FINANCIAL INC.","COGNOS SENIOR DEVELOPER",80000,DETROIT,MI
"CAPGEMINI FINANCIAL SERVICES USA INC","LEAD CONSULTANT",105000,WARREN,NJ
"PROSPANCE, INC.","COMPUTER AND INFORMATION SYSTEMS MANAGER",175000,MEMPHIS,TN
"BANK OF AMERICA N.A.","VP; CONSULTANT - APPS PROG",83200,CHARLOTTE,NC
"KONAMI GAMING INC.","SYSTEMS PRODUCT MANAGER",88000,"LAS VEGAS",NV
"HCL AMERICA, INC.","COMPUTER INFORMATION SYSTEMS MANAGER",119621,SUNNYVALE,CA
"HITACHI CONSULTING CORPORATION","MANAGER, SPECIALIZED SERVICES",100100,HOUSTON,TX
"VIRTUSA CORPORATION",ARCHITECT,120000,WESTBOROUGH,MA
"HEILER SOFTWARE CORPORATION","DIRECTOR OF TECHNOLOGY",120000,DETROIT,MI
"TTS SOLUTIONS INC.","TEAM LEAD",95000,BOSTON,MA
"ACCENTURE LLP","COMPUTER AND INFORMATION SYSTEMS MANAGER -4",158800,SEATTLE,WA
"H.J. HEINZ COMPANY","GLOBAL DATA TOOLSET MANAGER",115000,PITTSBURGH,PA
"ACCENTURE LLP","CONSULTING MANAGER",111200,BLOOMINGTON,IL
"CSC COVANSYS CORPORATION","ACCOUNT MANAGER",77085,BLOOMINGTON,IL
"ACCENTURE, LLP","SENIOR MANAGER - SOLUTIONS ARCHITECT",180000,"NEW YORK",NY
"LINKEDIN CORPORATION","SENIOR MANAGER, ENGINEERING",147368,"MOUNTAIN VIEW",CA
"TWENTIETH CENTURY FOX HOME ENTERTAINMENT LLC","DIRECTOR, DEVELOPMENT/EMF ARCH",160000,"LOS ANGELES",CA
"GUIDANCE SOFTWARE, INC.","MANAGER, ENTERPRISE APPLICATION DEVELOPMENT",118000,PASADENA,CA
"INSPIRAGE, LLC","SOLUTION ARCHITECT",140000,DAYTON,OH
CARE.COM,"SOFTWARE ENGINEERING MANAGER",109600,WALTHAM,MA
"RACKSPACE US INC","MANAGER, SOFTWARE DEVELOPMENT",125000,"SAN ANTONIO",TX
"DELOITTE CONSULTING LLP",MANAGER,140000,"THE WOODLANDS",TX
"CAPGEMINI FINANCIAL SERVICES USA INC","LEAD CONSULTANT",97989,"LONG ISLAND CITY",NY
"INSPIRAGE, LLC","SENIOR APPLICATION CONSULTANT",125000,HOUSTON,TX
"H.J. HEINZ COMPANY","REGIONAL LE SENIOR ANALYST",120000,PITTSBURGH,PA
"GETAROUND, INC.","CHIEF EXECUTIVE OFFICER",112258,"SAN FRANCISCO",CA
"SYNTEL CONSULTING INC.","PROJECT MANAGER",93912,KIRKLAND,WA
"BANK OF AMERICA N.A.","VP; SR CONSULTANT - RISK TECH",120000,CHARLOTTE,NC
"SEARS HOLDINGS MANAGEMENT CORPORATION","PROGRAM MANAGER",97200,"HOFFMAN ESTATES",IL
"AKAMAI TECHNOLOGIES, INC.","BUSINESS DEVELOPMENT DIRECTOR/SALES",155400,"SAN MATEO",CA
"NTT DATA, INC. (FORMERLY KEANE INC.)","COMPUTER AND INFORMATION SYSTEMS MANAGER",134300,AUSTIN,TX
"SECURONIX LLC","MANAGER - APPLICATION SOFTWARE ENGINEER",90459,ADDISON,TX
"CITRIX ONLINE, LLC.","MANAGER, PRODUCT DEVELOPMENT",132000,GOLETA,CA
"BIGMACHINES, INC.","STRATEGIC DELIVERY MANAGER",95000,"SAN DIEGO",CA
"VIRTUSA CORP","SOFTWARE MANAGER 1 - ARCHITECT",130000,PARSIPPANY,NJ
"VIRTUSA CORP","ASSOCIATE SOFTWARE ARCHITECT",115000,"NEW YORK",NY
"ESURANCE INSURANCE SERVICES, INC.","MANAGER BUSINESS INTELLIGENCE",130000,"SAN FRANCISCO",CA
"GROUP FMG, INC.","EXECUTIVE PRODUCER-PROJECT DIRECTOR",120000,"NEW YORK",NY
"FACTSET RESEARCH SYSTEMS, INC.","INFORMATION SYSTEMS MANAGER, SALES AND CONSULTING",95900,NORWALK,CT
"HCL AMERICA, INC.","PROJECT MANAGER",90459,PLANO,TX
"WESTERN UNION, LLC","SENIOR MANAGER MIDDLEWARE ENGINEERING PRODUCT LEAD",150000,"SAN FRANCISCO",CA
"IGATE TECHNOLOGIES INC.","COMPUTER AND INFORMATION SYSTEMS MANAGERS",93400,CINCINNATI,OH
"ETOUCH SYSTEMS CORPORATION","PROJECT MANAGER",120000,FREMONT,CA
"DELOITTE CONSULTING LLP","SENIOR MANAGER",181000,"BASKING RIDGE",NJ
"US AIRWAYS, INC.","MANAGER PROJECT 3.USIT",73362,TEMPE,AZ
"HCA MANAGEMENT SERVICES LP","SR. PROJECT MANAGER",105135,BRENTWOOD,TN
"IQOR US INC.","TEAM LEAD",120000,"NEW YORK",NY
"ACCENTURE LLP","CONSULTING MANAGER",141200,WILMINGTON,DE
"PEARSON EDUCATION, INC.","PRINCIPAL TECHNICAL ARCHITECT",97989,"UPPER SADDLE RIVER",NJ
"H.J. HEINZ COMPANY","KEYSTONE SAP MANAGER - SUPPLY CHAIN",121870,PITTSBURGH,PA
"INTRAEDGE, INC.","PROJECT MANAGER",80000,PHOENIX,AZ
"INTRAEDGE, INC.","PROJECT MANAGER",80000,PHOENIX,AZ
"GUIDANCE SOFTWARE, INC.","SENIOR MANAGER, CLOUD DATA SERVICES",135325,"SAN FRANCISCO",CA
"J.C. PENNEY CORPORATION, INC.","DIRECTOR, ORACLE SOLUTIONS",146286,PLANO,TX
"VIRTUSA CORPORATION","ASSOCIATE ARCHITECT",120000,WESTBOROUGH,MA
"PROFESSIONAL ACCESS, LTD.","PROJECT MANAGER",104000,"NEW YORK",NY
"CISCO SYSTEMS, INC.","MANAGER, SOFTWARE DEVELOPMENT",143022,"SAN JOSE",CA
"PRICEWATERHOUSECOOPERS, LLP","MANAGER (ADVISORY)",97989,"NEW YORK",NY
"LOGIC PLANET INC","COMPUTER & INFORMATION SYSTEMS MANAGER",99800,WILMINGTON,DE
"DRFIRST.COM, INC.","HEAD OF SYSTEMS ENGINEERING",160000,ROCKVILLE,MD
"CARDINAL HEALTH, INC.","MANAGER, APP. DESIGN & DEVELOPMENT",103979,DUBLIN,OH
"VIMEO LLC","DATA WAREHOUSE LEAD",135000,"NEW YORK",NY
"NOVARTIS PHARMACEUTICALS CORPORATION","APPLICATION ARCHITECT",114148,"EAST HANOVER",NJ
"CAPITAL ONE SERVICES, LLC","SENIOR DATA MANAGEMENT MANAGER",120800,RICHMOND,VA
"APPLE INC.","SOFTWARE DEVELOP MANAGER 2",178500,CUPERTINO,CA
"NETSMARTZ LLC","TECHNICAL DIRECTOR",150000,ROCHESTER,NY
"SYNTEL INC","PROJECT MANAGER",97989,"JERSEY CITY",NJ
"LINDEN RESEARCH, INC.","SENIOR DEVELOPMENT DIRECTOR",158371,"SAN FRANCISCO",CA
"IBM CORPORATION","ASSOCIATE PARTNER",155910,DALLAS,TX
"DELOITTE CONSULTING LLP",MANAGER,142000,HOUSTON,TX
"UST GLOBAL INC","ASSOCIATE ACCOUNT MANAGER",87568,RICHMOND,VA
"S.A.C. CAPITAL ADVISORS L.P.","VICE PRESIDENT, FINANCIAL INFORMATIN TECHNOLOGY SY",160000,"NEW YORK",NY
"KPMG LLP",MANAGER,109075,DALLAS,TX
"RACKSPACE US, INC.","MANAGER, SOFTWARE DEVELOPMENT",125000,"SAN ANTONIO",TX
"ARROW ELECTRONICS, INC.","MANAGER, IT 1",118000,ENGLEWOOD,CO
"ALLSCRIPTS SOFTWARE, LLC","PROJECT MANAGER",87600,RALEIGH,NC
"CITIBANK, N.A.","SENIOR PROJECT MANAGER, IT PROJECT TECHNICAL LEAD",104300,"LONG ISLAND CITY",NY
"BIRLASOFT INC","COMPUTER INFORMATION SYSTEMS MANAGER",90000,ROCHESTER,NY
"SILVER SPRING NETWORKS, INC.","QUALITY ASSURANCE MANAGER",135325,"REDWOOD CITY",CA
"HITACHI CONSULTING CORPORATION","MANAGER, SPECIALIZED SERVICES",123200,"NEW YORK",NY
"FIDELITY INVESTMENTS INSTITUTIONAL OPERATIONS COMP","SENIOR QUALITY ASSURANCE ENGINEER",88192,SMITHFIELD,RI
"PORTICO CLUB, LLC","IT OPERATIONS MANAGER",128000,AUSTIN,TX
"UST GLOBAL INC","DELIVERY MANAGER",110000,ALBANY,NY
"SECURONIX LLC","DIRECTOR OF IT - MARKETING",140000,HILLSBOROUGH,CA
"DELOITTE CONSULTING LLP",MANAGER,100000,LANCASTER,OH
"UNITED AIRLINES, INC.","MANAGER - INFORMATION TECHNOLOGY",95496.48,CHICAGO,IL
"BLOOMBERG, LP","TEAM LEADER",147000,"NEW YORK",NY
"SABRE INC.","SENIOR IT PROJECT MANAGEMENT",99000,SOUTHLAKE,TX
"THE SANBORN MAP CO., INC.","DIRECTOR OF MAPPING OPERATIONS",121098,"COLORADO SPRINGS",CO
"INTRALINKS, INC.","DIRECTOR, ENGINEERING",153000,CHARLESTOWN,MA
"HEWLETT-PACKARD COMPANY","MANAGER, SOFTWARE ENGINEERING QUALITY ASSURANCE",133170,SUNNYVALE,CA
"GOVERNMENTJOBS.COM, INC.","TECHNICAL PRODUCT MANAGER",115000,"EL SEGUNDO",CA
"WELLS FARGO BANK, N.A.","IT PROJECT MANAGER",160000,"NEW YORK",NY
"NEC CORPORATION OF AMERICA","MANAGER SOFTWARE DEVELOPMENT",118999.88,IRVING,TX
"ORACLE AMERICA, INC.","SENIOR SOFTWARE MANAGER",175000,"SANTA CLARA",CA
"ACCENTURE LLP","COMPUTER AND INFORMATION SYSTEMS MANAGER 2",99300,GREENSBORO,NC
"YODLE, INC.","VICE PRESIDENT OF PRODUCT DEVELOPMENT-LOCAL BUSINE",200000,"NEW YORK",NY
"BROADRIDGE FINANCIAL SOLUTIONS, INC.","SENIOR DIRECTOR - INSTALL SUPPORT",128000,"JERSEY CITY",NJ
"QBE AMERICAS INC.","INTERMEDIARY SYSTEMS PROJECT LEAD",127358,"NEW YORK",NY
"SYNIVERSE TECHNOLOGIES","TECHNOLOGY MANAGER",106350,TAMPA,FL
"MERKLE INC.","SOFTWARE ENGINEERING MANAGER",126214.2,MARLBOROUGH,MA
"PARAMOUNT SOFTWARE SOLUTIONS","IT MANAGER",90000,MINNEAPOLIS,MN
"EXELON BUSINESS SERVICES COMPANY, LLC","MANAGER, IT",98051,BALTIMORE,MD
"UST GLOBAL INC","ACCOUNT MANAGER",95000,NASHVILLE,TN
"BLOOMBERG, LP","TEAM LEADER",158000,"NEW YORK",NY
"CAPGEMINI FINANCIAL SERVICES USA INC","LEAD CONSULTANT",98000,"JERSEY CITY",NJ
"CAPGEMINI FINANCIAL SERVICES USA INC","LEAD CONSULTANT",98301,WARREN,NJ
"HITACHI CONSULTING CORPORATION",MANAGER,116000,"NEW YORK",NY
"DELOITTE CONSULTING LLP",MANAGER,100000,"EL PASO",TX
"AMAZON CORPORATE LLC","SOFTWARE DEVELOPMENT MANAGER",133000,SEATTLE,WA
"OPS TECHNOLOGY, INC.","DIRECTOR I, DEVELOPMENT",127767.25,"SAN FRANCISCO",CA
"CAMBRIDGE ASSOCIATES, LLC","SENIOR PROJECT MANAGER",120000,BOSTON,MA
"IDEXCEL, INC.","PROGRAM MANAGER",105000,PLANO,TX
"HITACHI CONSULTING CORPORATION",MANAGER,107700,DALLAS,TX
"AMAZON FULFILLMENT SERVICES LLC","TECHNICAL PROGRAM MANAGER",98400,SEATTLE,WA
"CAPGEMINI FINANCIAL SERVICES USA INC. (LEGACY KANB",MANAGER,120744,ROSEMONT,IL
"CAPGEMINI FINANCIAL SERVICES USA INC. (LEGACY KANB","LEAD CONSULTANT",76986,"MAYFIELD VILLAGE",OH
"ANN TAYLOR, INC.","SR. DIRECTOR OF BUSINESS REPORTING",190000,"NEW YORK",NY
"WESTERN UNION, LLC","SENIOR MANAGER DATA TRANSFORMATION PRODUCT LEAD",175000,"SAN FRANCISCO",CA
